1	1.2734	0.000403453	1.27052	0.000295981	1.25331
2	6.40196	0.0141072	6.25157	0.000999832	6.28319
3	24.6523	1.05662	23.6537	0.000856892	23.6244
4	66.6384	151.744	78.7565	0.0401301	78.9568
5	129.835	13820.1	247.044	0.122673	247.394
6	443.053	90659.8	745.144	0.986758	744.151
7	175.445	4.003e+06	2168.25	63.1554	2176.19
8	839.852	2.90988e+07	6243.21	81.5031	6234.18
9	2.13521	3.08986e+08	17468.2	12535.6	17580.1
10	3.20845	2.39708e+09	49134.7	29419.5	48963.1
11	5.5169e-06	1.82265e+10	134508	248108	135006
12	0.0564953	1.36289e+11	366390	7.746e+06	369173
13	9.91723e-10	1.005e+12	1.01281e+06	1.06411e+08	1.0025e+06
14	3.37086e-13	7.32342e+12	2.69912e+06	4.99217e+07	2.70618e+06
15	7.53709e-10	5.28227e+13	7.24488e+06	5.30913e+08	7.26792e+06
16	1.18169e-09	3.77623e+14	1.94624e+07	8.91732e+08	1.94325e+07
17	8.23049e-18	2.67852e+15	5.1912e+07	2.48321e+10	5.17545e+07
18	7.49324e-26	1.88679e+16	1.36865e+08	2.45476e+11	1.3736e+08
19	2.39103e-10	1.32088e+17	3.64116e+08	4.57102e+11	3.6344e+08
20	1.60921e-31	9.19597e+17	9.55116e+08	1.47494e+13	9.58956e+08
21	9.34332e-26	6.37024e+18	2.53126e+09	5.36278e+13	2.52393e+09
22	1.78268e-22	4.39281e+19	6.61305e+09	2.18387e+14	6.62783e+09
23	1.07672e-31	3.0167e+20	1.73699e+10	1.47841e+12	1.73687e+10
24	3.50351e-37	2.06386e+21	4.55209e+10	8.31776e+15	4.54297e+10
25	2.21969e-40	1.40707e+22	1.18612e+11	6.30279e+13	1.1862e+11
26	9.21643e-36	9.56232e+22	3.08454e+11	6.02487e+17	3.0923e+11
27	1.54282e-45	6.47924e+23	7.9997e+11	2.46694e+19	8.04937e+11
28	4.48478e-34	4.37817e+24	2.0953e+12	8.38663e+18	2.09241e+12
29	1.02525e-58	2.95088e+25	5.42905e+12	9.97792e+18	5.4322e+12
30	9.15195e-57	1.98417e+26	1.40535e+13	1.05842e+21	1.40861e+13
31	1.77905e-65	1.33119e+27	3.65479e+13	3.90454e+21	3.64854e+13
32	4.57897e-72	8.91242e+27	9.41883e+13	4.7222e+22	9.44056e+13
33	5.16435e-74	5.9553e+28	2.43905e+14	1.68355e+22	2.44035e+14
34	8.96137e-75	3.97204e+29	6.30709e+14	2.19009e+23	6.30241e+14
35	9.18794e-90	2.64467e+30	1.63239e+15	3.78149e+25	1.62624e+15
36	1.50614e-77	1.75801e+31	4.19166e+15	1.42486e+24	4.19286e+15
37	2.25059e-89	1.16681e+32	1.08311e+16	8.52003e+26	1.08019e+16
38	3.25338e-83	7.7329e+32	2.78515e+16	1.88765e+27	2.78081e+16
39	2.25873e-79	5.11781e+33	7.15345e+16	1.92716e+25	7.15389e+16
40	8.15583e-90	3.38263e+34	1.84168e+17	6.20236e+28	1.83919e+17
41	5.8275e-93	2.23297e+35	4.70184e+17	5.5653e+30	4.72543e+17
42	1.67526e-102	1.47229e+36	1.21513e+18	3.0683e+30	1.21338e+18
43	8.28092e-97	9.69642e+36	3.13155e+18	3.11404e+32	3.11391e+18
44	3.03331e-129	6.3791e+37	7.98696e+18	1.24282e+27	7.98693e+18
45	3.7616e-108	4.19237e+38	2.03568e+19	1.40275e+34	2.04753e+19
46	2.14107e-129	2.75251e+39	5.23226e+19	2.01038e+34	5.24644e+19
47	1.25952e-117	1.80547e+40	1.34266e+20	1.02995e+34	1.34368e+20
48	6.41583e-137	1.18319e+41	3.43317e+20	4.34655e+35	3.43976e+20
49	1.8268e-125	7.74722e+41	8.82345e+20	4.67531e+36	8.80183e+20
50	1.15637e-153	5.06843e+42	2.24933e+21	3.9685e+36	2.25132e+21
51	1.20927e-141	3.31325e+43	5.77049e+21	2.07612e+38	5.75608e+21
52	5.12711e-145	2.16421e+44	1.46807e+22	9.35709e+38	1.47113e+22
53	3.58164e-155	1.41262e+45	3.76481e+22	4.00587e+39	3.75848e+22
54	2.55508e-150	9.21383e+45	9.60797e+22	8.26976e+39	9.59887e+22
55	1.9975e-153	6.00562e+46	2.44568e+23	2.45484e+41	2.45064e+23
56	5.39291e-173	3.91191e+47	6.26209e+23	5.72533e+41	6.25453e+23
57	3.03909e-162	2.54649e+48	1.59295e+24	7.94394e+42	1.59577e+24
58	6.81508e-193	1.65664e+49	4.07238e+24	4.79765e+42	4.07019e+24
59	5.88932e-197	1.0771e+50	1.04099e+25	9.96666e+44	1.03783e+25
60	1.63834e-176	6.99898e+50	2.64052e+25	2.53659e+45	2.64556e+25
61	2.60146e-200	4.5454e+51	6.74431e+25	5.53102e+44	6.74195e+25
62	2.48369e-200	2.95036e+52	1.71679e+26	7.63396e+45	1.71766e+26
63	1.34911e-194	1.91405e+53	4.37241e+26	6.60172e+46	4.37498e+26
64	3.37215e-193	1.24111e+54	1.11495e+27	8.00336e+47	1.11405e+27
65	5.65841e-197	8.04374e+54	2.8362e+27	2.74939e+45	2.83615e+27
66	2.22367e-217	5.21074e+55	7.22278e+27	1.79674e+49	7.21854e+27
67	1.16357e-231	3.37397e+56	1.84256e+28	3.27688e+51	1.83684e+28
68	4.44428e-212	2.18368e+57	4.67013e+28	8.14652e+50	4.67299e+28
69	1.96935e-229	1.4127e+58	1.18799e+29	3.37166e+51	1.18857e+29
70	0	9.13539e+58	3.02234e+29	2.04831e+50	3.02248e+29
71	0	5.9051e+59	7.68311e+29	1.8343e+52	7.68447e+29
